panic_id,incident_time,latitude,longitude
"84,204","6/6/2024, 01:09",-34.04,18.36
"84,259","6/6/2024, 16:52",-26.18,28.16
"93,824","21/8/2024, 19:00",-29.85,31
"84,261","6/6/2024, 17:37",-26.14,28.01
"84,252","6/6/2024, 15:07",-26.19,28.28
"84,214","6/6/2024, 08:57",-25.77,28.22
"84,206","6/6/2024, 02:15",-26.73,27.09
"84,213","6/6/2024, 08:20",-33.92,18.42
"84,207","6/6/2024, 02:23",-28.9,31.46
"88,199","25/7/2024, 11:45",-25.41,28.14
"84,209","6/6/2024, 05:44",-27.62,32.03
"92,049","6/8/2024, 18:44",-26.23,28.11
"84,215","6/6/2024, 09:01",-26.01,28.19
"84,263","6/6/2024, 17:47",-28.74,31.89
"84,239","6/6/2024, 12:25",-25.76,28.23
"84,225","6/6/2024, 10:55",-34.06,18.86
"84,256","6/6/2024, 16:35",-28.74,31.89
"84,211","6/6/2024, 06:43",-33.92,18.42
"84,267","6/6/2024, 19:46",-34.01,18.48
"84,210","6/6/2024, 06:09",-25.83,28.29
"84,220","6/6/2024, 10:25",-31.66,18.51
"84,242","6/6/2024, 13:12",-26.21,28.04
"84,222","6/6/2024, 10:39",-24.52,28.74
"93,825","21/8/2024, 19:00",-29.85,31
"84,262","6/6/2024, 17:44",-25.76,28.24
"84,240","6/6/2024, 12:33",-25.76,28.23
"84,264","6/6/2024, 18:08",-28.41,32.19
"84,266","6/6/2024, 19:23",-26.13,28.09
"84,270","6/6/2024, 20:31",-34.16,24.83
"84,274","7/6/2024, 01:19",-27.68,31.05
"93,830","21/8/2024, 20:50",-33.96,18.46
"83,466","25/5/2024, 11:09",-26.19,27.87
"83,276","22/5/2024, 12:03",-26.14,28.14
"84,304","7/6/2024, 12:37",-33.96,25.6
"84,429","9/6/2024, 04:08",-25.84,25.6
"86,160","4/7/2024, 15:18",-28.21,30.67
"88,200","25/7/2024, 11:46",-29.86,31.02
"84,430","9/6/2024, 04:48",-26.73,27.09
"84,341","7/6/2024, 19:07",-25.81,28.28
"90,130","29/7/2024, 08:29",-32.92,27.74
"84,431","9/6/2024, 04:57",-29.12,26.22
"92,050","6/8/2024, 18:48",-26.2,28.25
"92,058","6/8/2024, 21:10",-26.18,27.93
"84,432","9/6/2024, 05:11",-29.75,30.82
"92,065","6/8/2024, 21:44",-29.87,30.9
"93,826","21/8/2024, 19:20",-26.28,27.71
"92,053","6/8/2024, 19:22",-26.18,27.89
"95,494","3/9/2024, 19:10",-34.08,18.46
"96,210","10/9/2024, 00:44",-25.83,28.25
"92,072","7/8/2024, 00:16",-32.91,17.99
"96,243","10/9/2024, 09:05",-25.88,28.17
"92,073","7/8/2024, 02:45",-30.74,30.45
"96,342","10/9/2024, 12:08",-30.2,30.74
"92,056","6/8/2024, 20:31",-26.1,28.01
"96,276","10/9/2024, 09:14",-25.72,28.16
"97,769","20/9/2024, 18:12",-29.56,30.41
"99,414","1/10/2024, 22:56",-29.99,30.84
"99,708","2/10/2024, 22:14",-26.08,28.07
"99,714","2/10/2024, 23:20",-28.75,32.05
"99,718","3/10/2024, 00:09",-27.43,31.87
"99,715","2/10/2024, 23:28",-26.18,27.89
"99,724","3/10/2024, 00:50",-26.15,26.16
"99,725","3/10/2024, 01:06",-29.85,30.98
"84,208","6/6/2024, 03:53",-26.82,26.9
"84,433","9/6/2024, 05:38",-34.1,18.86
"84,454","9/6/2024, 14:32",-26.26,28.09
"84,479","9/6/2024, 23:18",-28.41,32.19
"84,468","9/6/2024, 16:22",-26.15,28.14
"84,485","10/6/2024, 04:21",-34.07,18.82
"84,434","9/6/2024, 06:24",-33.96,18.46
"84,480","10/6/2024, 00:43",-33.96,18.46
"84,435","9/6/2024, 07:22",-29.82,30.86
"84,474","9/6/2024, 18:53",-33.95,22.42
"84,492","10/6/2024, 08:26",-26.99,26.68
"84,436","9/6/2024, 08:21",-33.96,18.47
"84,481","10/6/2024, 00:45",-27.38,31.61
"84,437","9/6/2024, 08:26",-29.92,30.88
"88,201","25/7/2024, 11:47",-27.73,23.01
"84,438","9/6/2024, 08:37",-29.98,30.93
"84,476","9/6/2024, 20:21",-29.12,26.22
"84,447","9/6/2024, 11:03",-34.08,18.82
"84,471","9/6/2024, 17:09",-30.58,29.88
"84,448","9/6/2024, 11:54",-25.71,28.38
